Codigo;Municipio;Sexo;Periodo;Total
41001;Aguadulce;Total;2023;2046
41002;Alanís;Total;2023;1675
41003;Albaida del Aljarafe;Total;2023;3254
41004;Alcalá de Guadaíra;Total;2023;76547
41005;Alcalá del Río;Total;2023;12288
41006;Alcolea del Río;Total;2023;3307
41007;Algaba, La;Total;2023;16618
41008;Algámitas;Total;2023;1251
41009;Almadén de la Plata;Total;2023;1324
41010;Almensilla;Total;2023;6537
41011;Arahal;Total;2023;19491
41012;Aznalcázar;Total;2023;4820
41013;Aznalcóllar;Total;2023;6057
41014;Badolatosa;Total;2023;3089
41015;Benacazón;Total;2023;7324
41016;Bollullos de la Mitación;Total;2023;11160
41017;Bormujos;Total;2023;22780
41018;Brenes;Total;2023;12804
41019;Burguillos;Total;2023;7098
41020;Cabezas de San Juan, Las;Total;2023;16400
41021;Camas;Total;2023;28157
41022;Campana, La;Total;2023;5137
41023;Cantillana;Total;2023;10782
41901;Cañada Rosal;Total;2023;3391
41024;Carmona;Total;2023;29551
41025;Carrión de los Céspedes;Total;2023;2597
41026;Casariche;Total;2023;5305
41027;Castilblanco de los Arroyos;Total;2023;5107
41028;Castilleja de Guzmán;Total;2023;2874
41029;Castilleja de la Cuesta;Total;2023;17167
41030;Castilleja del Campo;Total;2023;622
41031;Castillo de las Guardas, El;Total;2023;1500
41032;Cazalla de la Sierra;Total;2023;4660
41033;Constantina;Total;2023;5742
41034;Coria del Río;Total;2023;30887
41035;Coripe;Total;2023;1215
41036;Coronil, El;Total;2023;4690
41037;Corrales, Los;Total;2023;3996
41903;Cuervo de Sevilla, El;Total;2023;8635
41038;Dos Hermanas;Total;2023;138981
41039;Écija;Total;2023;39530
41040;Espartinas;Total;2023;16505
41041;Estepa;Total;2023;12373
41042;Fuentes de Andalucía;Total;2023;7217
41043;Garrobo, El;Total;2023;825
41044;Gelves;Total;2023;10388
41045;Gerena;Total;2023;7833
41046;Gilena;Total;2023;3686
41047;Gines;Total;2023;13481
41048;Guadalcanal;Total;2023;2545
41049;Guillena;Total;2023;13682
41050;Herrera;Total;2023;6544
41051;Huévar del Aljarafe;Total;2023;3289
41902;Isla Mayor;Total;2023;5741
41052;Lantejuela;Total;2023;3851
41053;Lebrija;Total;2023;27727
41054;Lora de Estepa;Total;2023;888
41055;Lora del Río;Total;2023;18316
41056;Luisiana, La;Total;2023;4608
41057;Madroño, El;Total;2023;297
41058;Mairena del Alcor;Total;2023;24125
41059;Mairena del Aljarafe;Total;2023;47541
41060;Marchena;Total;2023;19271
41061;Marinaleda;Total;2023;2577
41062;Martín de la Jara;Total;2023;2642
41063;Molares, Los;Total;2023;3559
41064;Montellano;Total;2023;7003
41065;Morón de la Frontera;Total;2023;27229
41066;Navas de la Concepción, Las;Total;2023;1523
41067;Olivares;Total;2023;9427
41068;Osuna;Total;2023;17418
41069;Palacios y Villafranca, Los;Total;2023;38698
41904;Palmar de Troya, El;Total;2023;2325
41070;Palomares del Río;Total;2023;9161
41071;Paradas;Total;2023;6798
41072;Pedrera;Total;2023;5104
41073;Pedroso, El;Total;2023;2054
41074;Peñaflor;Total;2023;3646
41075;Pilas;Total;2023;14052
41076;Pruna;Total;2023;2542
41077;Puebla de Cazalla, La;Total;2023;10884
41078;Puebla de los Infantes, La;Total;2023;2966
41079;Puebla del Río, La;Total;2023;11862
41080;Real de la Jara, El;Total;2023;1523
41081;Rinconada, La;Total;2023;40162
41082;Roda de Andalucía, La;Total;2023;4222
41083;Ronquillo, El;Total;2023;1441
41084;Rubio, El;Total;2023;3305
41085;Salteras;Total;2023;5627
41086;San Juan de Aznalfarache;Total;2023;22472
41088;San Nicolás del Puerto;Total;2023;608
41087;Sanlúcar la Mayor;Total;2023;14172
41089;Santiponce;Total;2023;8539
41090;Saucejo, El;Total;2023;4246
41091;Sevilla;Total;2023;684025
41092;Tocina;Total;2023;9420
41093;Tomares;Total;2023;25374
41094;Umbrete;Total;2023;9376
41095;Utrera;Total;2023;51718
41096;Valencina de la Concepción;Total;2023;8029
41097;Villamanrique de la Condesa;Total;2023;4640
41100;Villanueva de San Juan;Total;2023;994
41098;Villanueva del Ariscal;Total;2023;6814
41099;Villanueva del Río y Minas;Total;2023;4939
41101;Villaverde del Río;Total;2023;7700
41102;Viso del Alcor, El;Total;2023;19265
